,nome_logradouro_residencia,quantidade
288,RUA CANTOR JOAO PAULO,4
289,PADRE HENRIQUE,4
290,RUA CORREGO JOAO FRANCISCO,4
291,TRAVESSA DO RIO SAO FRANCISCO,4
292,RUA VELHA,4
293,RUA VEREADOR LUIZ CAVALCANTE,4
294,RUA ANDRE DE ALBUQUERQUE,4
295,RUA GARANHUNS,4
296,AV LIBERDADE,4
297,RUA NAZARE,4
298,RUA AMBRËSIO MACHADO,4
299,RUA PRIMAVERA,4
300,AV RECIFE,4
301,RUA SANDOLANDIA,4
302,RUA JOAO BANDEIRA DE MELO,4
303,RUA TAMARINDO,4
304,RUA POLONI,4
305,RUA SAO PAULO,4
306,RUA BALTAZAR DA SILVA LISBOA,4
307,RUA SANTA AGRIPINA,4
308,1¬ TRAVESSA ENGENHO CARAU,4
309,RUA RIO DA PRATA,4
310,RUA ANTONIO GONCALVES DA CRUZ,4
311,RUA RODRIGUES FERREIRA,4
312,RUA ANTONIO DE CASTRO,4
313,RUA GASTAO VIDIGAL,4
314,RUA BOMBA DO HEMETERIO,4
315,ESTRADA VELHA DO BONGI,4
316,RUA CATOLE DA ROCHA,4
317,RUA SAPUCAJI,4
318,RUA CONDE DE IRAJ?,4
319,RUA GUILHERME DE ALMEIDA,4
320,RUA DONA MARIA AUGUSTA NOGUEIRA,4
321,MAMEDE COELHO,4
322,RUA IMBITUBA,4
323,RUA ROUXINOL,4
324,MAURICIO DE NASSAU,4
325,RUA DOM MANOEL DA COSTA,4
326,AVENIDA PROFESSOR ARTUR COUTINHO,4
327,RUA MANOEL AZEVEDO,4
328,RUA ACADEMICO HELIO RAMOS,4
329,RUA AVELINO CHAVES,4
330,RUA GENERAL POLIDORO,4
331,RUA LUIZ FIGUEIROA,4
332,RUA PROFESSORA LUCY ALVAREZ,4
333,RUA DOS MILAGRES,4
334,RUA DO ESPINHEIRO,4
335,RUA SOLDADO VIRGILIO,4
336,RUA GUANAMBI,4
337,RUA RIO JABOAT?O,4
338,RUA NOSSA SENHORA DA PENHA,4
339,RUA SERRA VERDE,4
340,RUA RIBEIRO DE BRITO,4
341,RUA CANAFE,4
342,RUA EDGAR DE AMORIM,4
343,RUA BAR?O DE BONITO,4
344,R DO CHACON,4
345,RUA MANOEL CORREIA,4
346,SUCUPIRA,4
347,RUA SANTA EFIGENIA,4
348,RUA FERNANDES BELO,4
349,RUA JORN JOSE CAMPELO JR,4
350,RUA CONEGO ROMEU,4
351,RUA NADIA,4
352,RUA SANTO HELENO,4
353,RUA EDITE QUEIROZ DE ANDRADE CINTRA,4
354,RUA EQUADOR,4
355,RUA SOLDADO VIRGILIO LUCIO,4
356,RUA DO NASCENTE,4
357,RUA S?O LUIS,4
358,RUA JOSE MARTORANO,4
359,RUA XIMBORE,4
360,RUA PIO MUNIZ DE FARIAS,4
361,RUA GUAIRACA,4
362,AV 12 DE JUNHO,4
363,RUA BRASIL,4
364,RUA ARACAJU,4
365,RUA TEIXEIRA DE FREITAS,4
366,RUA SETUBAL,4
367,RUA CAMPO LARGO,4
368,RUA PELOTAS,4
369,RUA RAUL SOARES,4
370,RUA NELSON AVILA,4
371,RUA ILEXUANA,4
372,RUA DEPUTADO JOAQUIM COUTINHO,4
373,RUA TRISTAO DA CUNHA,4
374,RUA ANANIAS CATANHO,4
375,RUA ANTONIO FELIPE,4
376,RUA CAIBAR SCHUTEL,4
377,RUA FLORES DO ORIENTE,4
378,RUA FELICIDADE,4
379,RUA MANOEL BATISTA,4
380,RUA SETE DE SETEMBRO,4
381,AV MAURICIO DE NASSAU,4
382,AVENIDA CAXANG?,4
383,RUA FRANCISCO LACERDA,4
384,RUA VILA ASSUNÃ?O,4
385,RUA DA FELICIDADE,4
386,RUA JOAO BENTO BATISTA,4
387,RUA SAO LUCAS,4
388,RUA GUARATUBA,4
389,AV CHICO MENDES,4
390,RUA PROFESSOR JOAQUIM XAVIER DE BRITO,4
391,RUA MARQUES DE ABRANTES,4
392,RUA FRANCISCO DE PAULA MACHADO,4
393,RUA GUAIRA,4
394,RUA JATOBA,4
395,RUA CONSUL SAID ADUN,4
396,RUA 11 DE FEVEREIRO,4
397,RUA SETE DE AGOSTO,4
398,RUA RIO FORMOSO,4
399,RUA LEAL DE BARROS,4
400,RUA POETA RAYMUNDO ASFORA,4
401,RUA SITIO,4
402,AV BOA VIAGEM,4
403,RUA CANTORA CLEMENTINA DE JESUS,4
404,RUA SECRETARIA ZORAIDE FERNANDES,4
405,RUA MARIA JOSE DE LIMA,4
406,RUA RIO PAJEU,4
407,RUA RIO NOVO DO SUL,4
408,RUA SANTA LUCIA,4
409,RUA SANTA QUITERIA,4
410,ESTRADA DOS REMEDIOS,4
411,RUA DOUTOR ARMANDO TAVARES,4
412,RUA JOSE DE FARIAS,4
413,RUA SEMPRE VIVA,4
414,RUA DAS CASTANHOLAS,4
415,RUA DA CUT,4
416,RUA PEDRO RODRIGUES DE BARROS,4
417,AV VISCONDE DE JEQUITINHONHA,4
418,RUA SAO VICENTE DE PAULA,4
